Feature ID	Taxon
seq68	Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; nucleatum
seq69	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; muciniphila
seq70	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Clostridium_sensu_stricto_1; none
seq71	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; uniformis
seq72	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq73	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus_2; bromii
seq74	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; faecis
seq75	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Veillonella; none
seq76	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq77	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq78	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq79	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; none
seq80	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; none
seq81	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Muribaculaceae; none; none
seq82	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; none
seq83	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-010; none
seq84	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; none
seq85	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_9; copri
seq86	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq87	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus; intestini
seq88	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Agathobacter; none
seq89	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; hadrus
seq90	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus_1; catus
seq91	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq92	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; none
seq93	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_9; none
seq94	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; uniformis
seq95	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelatoclostridium; ramosum
seq96	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq97	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella_4; nexilis
seq98	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; none
seq99	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq100	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; none
seq101	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; finegoldii
seq102	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; vulgatus
seq103	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Intestinibacter; bartlettii
seq104	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; finegoldii
seq105	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Marinifilaceae; Odoribacter; splanchnicus
seq106	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-002; bacterium
seq107	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospira; pectinoschiza
seq108	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; shahii
seq109	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; UBA1819; none
seq110	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq111	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_2; none
seq112	Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; nucleatum
seq113	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-002; bacterium
seq114	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq115	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq116	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq117	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; none; none
seq118	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Holdemanella; none
seq119	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_2; none
seq120	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq121	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; none
seq122	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-003; none
seq123	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-002; none
seq124	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Butyricicoccus; none
seq125	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq126	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq127	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; GCA-900066575; none
seq128	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; none
seq129	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_NK4A136_group; none
seq130	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; hominis
seq131	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; succinatutens
seq132	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotellaceae_NK3B31_group; none
seq133	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; none
seq134	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq135	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; prausnitzii
seq136	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Sutterella; wadsworthensis
seq137	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-004; none
seq138	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Clostridium_sensu_stricto_1; paraputrificum
seq139	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; none; none
seq140	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_NK4A136_group; none
seq141	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq142	Bacteria; Cyanobacteria; Melainabacteria; Gastranaerophilales; none; none; none
seq143	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium_9; none
seq144	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; vulgatus
seq145	Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; nucleatum
seq146	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium_9; none
seq147	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; none
seq148	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospira; pectinoschiza
seq149	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; none; none
seq150	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-002; none
seq151	Bacteria; Actinobacteria; Coriobacteriia; Coriobacteriales; Coriobacteriaceae; Collinsella; aerofaciens
seq152	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-014; none
seq153	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq154	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; eggerthii
seq155	Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenellaceae_R-7_group; none
seq156	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Eisenbergiella; tayi
seq157	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Eisenbergiella; massiliensis
seq158	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Epulopiscium; none
seq159	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_9; none
seq160	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq161	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq162	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus_1; none
seq163	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq164	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Morganella; morganii
seq165	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_2; none
seq166	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillibacter; none
seq167	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-004; none
seq168	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; eggerthii
seq169	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_ND3007_group; none
seq170	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-002; none
seq171	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megamonas; funiformis
seq172	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; none
seq173	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq174	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; intestinalis
seq175	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium_5; none
seq176	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; none; none; none
seq177	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq178	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; coprocola
seq179	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium_5; none
seq180	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-005; none
seq181	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; none
seq182	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; CAG-56; none
seq183	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; putredinis
seq184	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; none
seq185	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; none; none
seq186	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium_6; none
seq187	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-002; none
seq188	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq189	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; uniformis
seq190	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus; none
seq191	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; hadrus
seq192	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; fragilis
seq193	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Hungatella; none
seq194	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; stercoris
seq195	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella; none
seq196	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq197	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium_9; none
seq198	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq199	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq200	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; stercoris
seq201	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; none
seq202	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus_1; bicirculans
seq203	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq204	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; none
seq205	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; none
seq206	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Barnesiellaceae; Coprobacter; fastidiosus
seq207	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; ovatus
seq208	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Veillonella; none
seq209	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; fluxus
seq210	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Mitsuokella; jalaludinii
seq211	Eukaryota; none; none; none; none; none; none
seq212	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq213	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Peptostreptococcus; anaerobius
seq214	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; salyersiae
seq215	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; none
seq216	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; none
seq217	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-004; none
seq218	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq219	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; none
seq220	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus_1; bicirculans
seq221	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Subdoligranulum; none
seq222	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; none; none
seq223	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; none
seq224	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; CAG-352; none
seq225	Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; nucleatum
seq226	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; none; none; none
seq227	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq228	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-004; none
seq229	Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenellaceae_R-7_group; none
seq230	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Clostridium_sensu_stricto_1; none
seq231	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Hungatella; hathewayi
seq232	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq233	Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Faecalitalea; none
seq234	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus_2; eutactus
seq235	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq236	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; piger
seq237	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Neisseriaceae; Eikenella; corrodens
seq238	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq239	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; none
seq240	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; none
seq241	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister; none
seq242	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Sellimonas; intestinalis
seq243	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq244	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Sutterella; none
seq245	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq246	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; none
seq247	Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; bifidum
seq248	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq249	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; johnsonii
seq250	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Clostridium_sensu_stricto_2; cadaveris
seq251	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; goldsteinii
seq252	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-004; none
seq253	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnospiraceae_UCG-010; none
seq254	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq255	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; none; none
seq256	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister; propionicifaciens
seq257	Bacteria; Firmicutes; Bacilli; Bacillales; Family_XI; Gemella; none
seq258	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; none
seq259	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; none
seq260	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Negativibacillus; none
seq261	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; none; none
seq262	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcaceae_UCG-002; none
